Title,Company,Location,Date Posted,Job Link,Job Description
"Software Engineer, Machine Learning",LinkedIn,"Bengaluru, Karnataka, India",4 hours ago,https://in.linkedin.com/jobs/view/software-engineer-machine-learning-at-linkedin-4015159082?position=1&pageNum=0&refId=y%2Fvpdi4jPgsX6fZ4tCVcSg%3D%3D&trackingId=KTBiDbyO8rkctSdjOOc6SQ%3D%3D,"LinkedIn was built to help professionals achieve more in their careers, and every day millions of people use our products to make connections, discover opportunities, and gain insights. Our global reach means we get to make a direct impact on the world’s workforce in ways no other company can. We’re much more than a digital resume -- we transform lives through innovative products and technology.

Every day, millions of posts, videos, and articles course through the LinkedIn feed, generating tens of thousands of comments every hour — and tens of millions more shares and likes.

We are looking for a research engineer/scientist to develop state of art NLP & vision algorithms to understand member posted content meaningfully. You will be instrumental in improving the efficacy of communication and content exchange between millions of LinkedIn members by developing cutting edge content understanding and classification algorithms. The understanding is not only limited to extract features but to summarize, classify & cluster content. We own the end to end stack from idea creation, POC, design to product deployment.

As part of a new and fast growing team of top-notch scientists and engineers, you will experience all the excitement and dynamism of a startup along with the scale and technology of a world-class enterprise.

At LinkedIn, we trust each other to do our best work where it works best for us and our teams. This role offers a hybrid work option, meaning you can both work from home and commute to a LinkedIn office, depending on what’s best for you and when it is important for your team to be together.

Responsibilities:
- Develop next-gen algorithms to understand visual content and textual content and member interactions on LinkedIn
- Develop state-of-art text/image/video/graph classification models scaling to millions of content and thousands of categories
- Develop state-of-art supervised and semi-supervised models scaling to hundreds of millions of members and their content
- Own end-to-end model development and deployment at LinkedIn scale
- Mentor junior research engineers in utilizing advanced machine learning techniques for critical business problems
- Represent LinkedIn in academic and industry circles by showcasing our innovation, data products and scientific expertise in bringing game-changing data products to market

Basic Qualifications:
- Master’s degree OR Bachelor’s degree with 2+ years of work experience
- 2+ years of experience in at least one of the following areas: Computer vision, Image processing, Machine Learning, Statistical modeling/inference, Data mining, NLP, Graph/geometric deep learning, Large Language Models, Generative AI

Preferred Qualifications:
- 2+ years of hands-on experience working on machine learning, deep learning, NLP or related topics
- Understanding of standard programming and software engineering practices
- Ability and eagerness to program

Suggested Skills:
- Machine Learning
- Deep Learning
- Generative-AI
- Large Language Models

You will Benefit from our Culture:
We strongly believe in the well-being of our employees and their families. That is why we offer generous health and wellness programs and time away for employees of all levels.

India Disability Policy
LinkedIn is an equal employment opportunity employer offering opportunities to all job seekers, including individuals with disabilities. For more information on our equal opportunity policy, please visit https://legal.linkedin.com/content/dam/legal/Policy_India_EqualOppPWD_9-12-2023.pdf

Global Data Privacy Notice for Job Candidates
This document provides transparency around the way in which LinkedIn handles personal data of employees and job applicants: https://legal.linkedin.com/candidate-portal"
Title not found,Company not found,Location not found,Date posted not found,https://in.linkedin.com/jobs/view/data-engineer-at-nielseniq-4016701979?position=4&pageNum=0&refId=y%2Fvpdi4jPgsX6fZ4tCVcSg%3D%3D&trackingId=qh1MV9fGJ4sShdmu2EsJ8Q%3D%3D,Job description not found
Title not found,Company not found,Location not found,Date posted not found,https://in.linkedin.com/jobs/view/system-engineer-at-sinch-3789110335?position=16&pageNum=0&refId=y%2Fvpdi4jPgsX6fZ4tCVcSg%3D%3D&trackingId=2PCZ%2F3MtpSVvuKZtCWXX%2Fw%3D%3D,Job description not found
Title not found,Company not found,Location not found,Date posted not found,https://in.linkedin.com/jobs/view/bi-engineer-at-qima-3939322002?position=17&pageNum=0&refId=y%2Fvpdi4jPgsX6fZ4tCVcSg%3D%3D&trackingId=wVbGcZ9Lb39V%2BwsGiS5N3A%3D%3D,Job description not found
Title not found,Company not found,Location not found,Date posted not found,https://in.linkedin.com/jobs/view/data-engineer-big-data-python-at-ample-success-hr-solutions-4036829889?position=18&pageNum=0&refId=y%2Fvpdi4jPgsX6fZ4tCVcSg%3D%3D&trackingId=YOZrFgSDIOhobSbf6Q%2Bh%2Fw%3D%3D,Job description not found
Data Analyst,Orbion Infotech,India,7 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-orbion-infotech-4035476351?position=20&pageNum=0&refId=y%2Fvpdi4jPgsX6fZ4tCVcSg%3D%3D&trackingId=%2FDhxVxab5NTCkh0l0UXsAQ%3D%3D,"Shift: 7 pm- 4 am



We are seeking an experienced with a strong background in marketing and eCommerce data. The ideal candidate will have at least 3 years of experience in data analytics and will be highly skilled in tools such as Looker, Tableau, PowerBI, and DBT. You will be responsible for providing actionable insights that align with business objectives and improve overall marketing and eCommerce strategies.

















Skills: tableau,data analytics,dbt,power bi"
Junior Software Engineer,Appinventiv,"Delhi, India",23 hours ago,https://in.linkedin.com/jobs/view/junior-software-engineer-at-appinventiv-4035235147?position=24&pageNum=0&refId=y%2Fvpdi4jPgsX6fZ4tCVcSg%3D%3D&trackingId=qs%2BG2XCjRBZA7rgafI0%2Fxw%3D%3D,"About the Role:
We are looking for a motivated Junior Software Engineer to join our dynamic team. In this role, you will assist in designing, developing, and maintaining software applications. You’ll collaborate with senior developers and cross-functional teams to ensure efficient project execution while growing your technical skills in a supportive environment."
Data Engineer,CareerXperts Consulting,India,6 hours ago,https://in.linkedin.com/jobs/view/data-engineer-at-careerxperts-consulting-4035684444?position=26&pageNum=0&refId=y%2Fvpdi4jPgsX6fZ4tCVcSg%3D%3D&trackingId=Z%2B4o6Pd63md4bQ5mJg3cxw%3D%3D,"Job Title: Data Engineer

Company Overview:
Join a forward-thinking company that thrives on data-driven decision-making! We are a rapidly growing organization in [industry/sector] dedicated to leveraging cutting-edge technology to solve real-world problems. As we continue expanding, we're seeking a skilled to play a pivotal role in designing, developing, and optimizing our data infrastructure."
Data Engineer,DMAIC Academy & Consultancy,"Tamil Nadu, India",3 hours ago,https://in.linkedin.com/jobs/view/data-engineer-at-dmaic-academy-consultancy-4036020013?position=27&pageNum=0&refId=y%2Fvpdi4jPgsX6fZ4tCVcSg%3D%3D&trackingId=6IooEvrUAGawvVmJaehQXw%3D%3D,"Job Title: Python Developer (PySpark, Spark, Kubernetes, Airflow, Druid, Ray)
Experience Level: 3 to 4.5 Years"
Title not found,Company not found,Location not found,Date posted not found,https://in.linkedin.com/jobs/view/associate-data-engineer-at-a-p-moller-maersk-4036826064?position=29&pageNum=0&refId=y%2Fvpdi4jPgsX6fZ4tCVcSg%3D%3D&trackingId=ZYL3UC831QSa%2BMQVBzXq3Q%3D%3D,Job description not found
