Title,Company,Location,Date Posted,Job Link,Job Description,Email,Similarity Percentage
Data Engineer II,Flipkart,"Bengaluru, Karnataka, India",7 hours ago,https://in.linkedin.com/jobs/view/data-engineer-ii-at-flipkart-3990054191?position=1&pageNum=0&refId=7rCVNTmj8kJomf4Mboha0w%3D%3D&trackingId=ljEhWwI%2F17NEYMmL539Igg%3D%3D&trk=public_jobs_jserp-result_search-card,"Data engineers to build data analytical solutions that will address increasingly complex business questions.

A Data Engineer will be a hands-on person responsible for designing, prototyping and implementing data products that support a wide variety of data processing, data science and analytics needs. Data Engineers work closely with data scientists, product managers, data platform team to understand the functional data requirements and leverage the underlying tech stack to come up with scalable, robust data applications which can crunch terabytes of data in real-time. Data products and applications you build will enable data driven decision making across business, analytics and operations.",,0
Data Engineer II,Flipkart,"Bengaluru, Karnataka, India",7 hours ago,https://in.linkedin.com/jobs/view/data-engineer-ii-at-flipkart-3990052885?position=2&pageNum=0&refId=7rCVNTmj8kJomf4Mboha0w%3D%3D&trackingId=C2SW7ro6FmbyLOecgXSsjA%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Title : Data Engineer II

About The Team

Flipkart has a US Research & Development center with teams sitting in Bangalore and Seattle. The team works on Large Language Model (LLM) powered initiatives focussed on Conversational Assistant.

You are Responsible for

A Data Engineer will be a hands-on person responsible for designing, prototyping, and implementing data products that support a wide variety of data processing, data science, and analytics needs. Data Engineers work closely with data scientists, product managers, and data platform teams to understand the functional data requirements and leverage the underlying tech stack to come up with scalable, robust data applications which can crunch terabytes of data in real-time. Data products and applications you build will enable data-driven decision-making across business, analytics, and operations.

A data engineer integrates, transforms, and consolidates data from various structured and unstructured data systems into structures that are suitable for building analytics solutions. The data engineer also helps design and support data pipelines and data stores that are high-performing, efficient, organized, and reliable, given a specific set of business requirements and constraints.

To succeed in this role – you should have the following

At least 4-6 years of experience with strong fundamentals in programming, distributed systems, networks, databases, system internals etc.
Exceptional problem solving and analytical skills.
Experience with Python, Pyspark
Good understanding of SQL and ability to write efficient queries.
Basic understanding of big data technologies like Hadoop, Spark.
Excellent written and verbal communication skills
Ability to multitask and work on a diverse range of requirements in ambiguous environment
Exposure to automation tools like Airflow, Kubeflow etc
Exposure to Cloud platforms like GCP or aws
Experience with data pipelines and ETL processes to support data science and machine learning workflows.
Good to have: Experience working with Java",,0
Senior Data Engineer,Roku,"Bengaluru, Karnataka, India",5 hours ago,https://in.linkedin.com/jobs/view/senior-data-engineer-at-roku-3947268733?position=3&pageNum=0&refId=7rCVNTmj8kJomf4Mboha0w%3D%3D&trackingId=FY3OHuob1pUsymUl9jmDhg%3D%3D&trk=public_jobs_jserp-result_search-card,"Teamwork makes the stream work.

Roku Is Changing How The World Watches TV

Roku is the #1 TV streaming platform in the US, and we've set our sights on powering every television in the world. Roku pioneered streaming to the TV. Our mission is to be the TV streaming platform that connects the entire TV ecosystem. We connect consumers to the content they love, enable content publishers to build and monetize large audiences, and provide advertisers unique capabilities to engage consumers.

From your first day at Roku, you'll make a valuable - and valued - contribution. We're a fast-growing public company where no one is a bystander. We offer you the opportunity to delight millions of TV streamers around the world while gaining meaningful experience across a variety of disciplines.

About The Role

Roku pioneered streaming to the TV. We connect users to the streaming content they love, enable content publishers to build and monetise large audiences, and provide advertisers with unique capabilities to engage consumers. Roku streaming players and Roku TV™ models are available around the world through direct retail sales and licensing arrangements with TV brands and pay-TV operators.

With tens of million players sold across many countries, thousands of streaming channels and billions of hours watched over the platform, building scalable, highly available, fault-tolerant, big data platform is critical for our success.

This role is based in Bangalore, India.

What You’ll Be Doing

Build highly scalable, available, fault-tolerant distributed data processing systems (batch and streaming systems) processing over 10s of terabytes of data ingested every day and petabyte-sized data warehouse
Build quality data solutions and refine existing diverse datasets to simplified models encouraging self-service
Build data pipelines that optimise on data quality and are resilient to poor quality data sources
Own the data mapping, business logic, transformations and data quality
Low level systems debugging, performance measurement & optimization on large production clusters
Participate in architecture discussions, influence product roadmap, and take ownership and responsibility over new projects
Maintain and support existing platforms and evolve to newer technology stacks and architectures

We’re excited if you have

Extensive SQL Skills
Proficiency in at least one scripting language, Python is required
Proficiency in at least one object-oriented language,  Java is preferred
Experience in big data technologies like HDFS, YARN, Map-Reduce, Hive, Kafka, Spark, Airflow, Presto, etc.
Experience with AWS, GCP, Looker is a plus
Collaborate with cross-functional teams such as developers, analysts, and operations to execute deliverables
5+ years professional experience as a data or software engineer
BS in Computer Science; MS in Computer Science preferred

Benefits

Roku is committed to offering a diverse range of benefits as part of our compensation package to support our employees and their families. Our comprehensive benefits include global access to mental health and financial wellness support and resources. Local benefits include statutory and voluntary benefits which may include healthcare (medical, dental, and vision), life, accident, disability, commuter, and retirement options (401(k)/pension). Our employees can take time off work for vacation and other personal reasons to balance their evolving work and life needs. It's important to note that not every benefit is available in all locations or for every role. For details specific to your location, please consult with your recruiter.

The Roku Culture

Roku is a great place for people who want to work in a fast-paced environment where everyone is focused on the company's success rather than their own. We try to surround ourselves with people who are great at their jobs, who are easy to work with, and who keep their egos in check. We appreciate a sense of humor. We believe a fewer number of very talented folks can do more for less cost than a larger number of less talented teams. We’re independent thinkers with big ideas who act boldly, move fast and accomplish extraordinary things through collaboration and trust. In short, at Roku you'll be part of a company that's changing how the world watches TV.

We have a unique culture that we are proud of. We think of ourselves primarily as problem-solvers, which itself is a two-part idea. We come up with the solution, but the solution isn't real until it is built and delivered to the customer. That penchant for action gives us a pragmatic approach to innovation, one that has served us well since 2002.

To learn more about Roku, our global footprint, and how we've grown, visit https://www.weareroku.com/factsheet.

By providing your information, you acknowledge that you have read our Applicant Privacy Notice and authorize Roku to process your data subject to those terms.",,0
Senior Data Engineer,Roku,"Bengaluru, Karnataka, India",5 hours ago,https://in.linkedin.com/jobs/view/senior-data-engineer-at-roku-3910028427?position=4&pageNum=0&refId=7rCVNTmj8kJomf4Mboha0w%3D%3D&trackingId=%2BlnKBZXUt%2BNq5Ssg70DqMQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Teamwork makes the stream work.

Roku Is Changing How The World Watches TV

Roku is the #1 TV streaming platform in the US, and we've set our sights on powering every television in the world. Roku pioneered streaming to the TV. Our mission is to be the TV streaming platform that connects the entire TV ecosystem. We connect consumers to the content they love, enable content publishers to build and monetize large audiences, and provide advertisers unique capabilities to engage consumers.

From your first day at Roku, you'll make a valuable - and valued - contribution. We're a fast-growing public company where no one is a bystander. We offer you the opportunity to delight millions of TV streamers around the world while gaining meaningful experience across a variety of disciplines.

About The Team

The mission of Roku's Data Engineering team is to develop a world-class big data platform so that internal and external customers can leverage data to grow their businesses. Data Engineering works closely with business partners and Engineering teams to collect metrics on existing and new initiatives that are critical to business success. As Senior Data Engineer working on Engagement Metrics, you will develop data pipelines to capture and validate user journey events and metrics across Roku Devices, Roku Powered TVs, web and mobile clients. This position is a key role to help Roku's business grow by understanding what features Roku users engage with and love the most.

About The Role

Roku pioneered streaming to the TV. We connect users to the streaming content they love, enable content publishers to build and monetise large audiences, and provide advertisers with unique capabilities to engage consumers. Roku streaming players and Roku TV™ models are available around the world through direct retail sales and licensing arrangements with TV brands and pay-TV operators.

With tens of million players sold across many countries, thousands of streaming channels and billions of hours watched over the platform, building scalable, highly available, fault-tolerant, big data platform is critical for our success.

This role is based in Bangalore, India and requires hybrid working, with 3 days in the office.

What You’ll Be Doing

Build highly scalable, available, fault-tolerant distributed data processing systems (batch and streaming systems) processing over 10s of terabytes of data ingested every day and petabyte-sized data warehouse
Build quality data solutions and refine existing diverse datasets to simplified models encouraging self-service
Build data pipelines that optimise on data quality and are resilient to poor quality data sources
Own the data mapping, business logic, transformations and data quality
Low level systems debugging, performance measurement & optimization on large production clusters
Participate in architecture discussions, influence product roadmap, and take ownership and responsibility over new projects
Maintain and support existing platforms and evolve to newer technology stacks and architectures

We’re excited if you have

Extensive SQL Skills
Proficiency in at least one scripting language, Python is required
Proficiency in at least one object-oriented language, Java is preferred
Experience in big data technologies like HDFS, YARN, Map-Reduce, Hive, Kafka, Spark, Airflow, Presto, etc.
Experience with AWS, GCP, Looker is a plus
Collaborate with cross-functional teams such as developers, analysts, and operations to execute deliverables
5+ years professional experience as a data or software engineer
BS in Computer Science; MS in Computer Science preferred

Benefits

Roku is committed to offering a diverse range of benefits as part of our compensation package to support our employees and their families. Our comprehensive benefits include global access to mental health and financial wellness support and resources. Local benefits include statutory and voluntary benefits which may include healthcare (medical, dental, and vision), life, accident, disability, commuter, and retirement options (401(k)/pension). Our employees can take time off work for vacation and other personal reasons to balance their evolving work and life needs. It's important to note that not every benefit is available in all locations or for every role. For details specific to your location, please consult with your recruiter.

The Roku Culture

Roku is a great place for people who want to work in a fast-paced environment where everyone is focused on the company's success rather than their own. We try to surround ourselves with people who are great at their jobs, who are easy to work with, and who keep their egos in check. We appreciate a sense of humor. We believe a fewer number of very talented folks can do more for less cost than a larger number of less talented teams. We’re independent thinkers with big ideas who act boldly, move fast and accomplish extraordinary things through collaboration and trust. In short, at Roku you'll be part of a company that's changing how the world watches TV.

We have a unique culture that we are proud of. We think of ourselves primarily as problem-solvers, which itself is a two-part idea. We come up with the solution, but the solution isn't real until it is built and delivered to the customer. That penchant for action gives us a pragmatic approach to innovation, one that has served us well since 2002.

To learn more about Roku, our global footprint, and how we've grown, visit https://www.weareroku.com/factsheet.

By providing your information, you acknowledge that you have read our Applicant Privacy Notice and authorize Roku to process your data subject to those terms.",,0
Data Analyst,Jio,Mumbai Metropolitan Region,16 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-jio-4007711627?position=5&pageNum=0&refId=7rCVNTmj8kJomf4Mboha0w%3D%3D&trackingId=DXVpoh9Ix1U7yu9HXL9zXg%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Description

Spearheaded the development of ETL pipelines for processing 100k+ rows of financial data daily, achieving a 30% improvement in data processing efficiency by leveraging Python and MS SQL Server to create automated, error-resistant workflows.

Mastered and deployed machine learning models in object detection, natural language processing, and computer vision, achieving up to a 95% accuracy rate. Trained and tested models that were integrated into applications, enhancing performance and scalability for clients.

Conducted comprehensive statistical and financial analysis that revealed 20+ key trends and KPIs, leading to a 15% boost in strategic decision-making efficiency by stakeholders through actionable insights.

Designed and implemented Power BI dashboards that increased stakeholder engagement by 40%, presenting critical metrics and KPIs. Partnered with the development team to embed reports into client web applications, resulting in a 25% increase in report accessibility and usability.

Skills Required

MS Excel, Tableau, Power BI, Google Analytics, PySpark, Statistical analysis, data modeling, Data Engineering and ETL pipelines, data flow automation, data visualization, Machine Learning, AI models, Natural Language Processing",,0
Title not found,Company not found,Location not found,Date posted not found,https://in.linkedin.com/jobs/view/data-analyst-entry-level-%40clanner-at-clanner-4007254167?position=6&pageNum=0&refId=7rCVNTmj8kJomf4Mboha0w%3D%3D&trackingId=EIChdh%2BTdav0a5Kz%2FPBVEg%3D%3D&trk=public_jobs_jserp-result_search-card,Job description not found,,0
Big Data Engineer,Fractal,"Bengaluru, Karnataka, India",7 hours ago,https://in.linkedin.com/jobs/view/big-data-engineer-at-fractal-3934366392?position=7&pageNum=0&refId=7rCVNTmj8kJomf4Mboha0w%3D%3D&trackingId=Xglmfk1ogLn%2BzOJYK%2By8BQ%3D%3D&trk=public_jobs_jserp-result_search-card,"It's fun to work in a company where people truly BELIEVE in what they are doing!

We're committed to bringing passion and customer focus to the business.

Job Description

The BigData Engineers have expertise in building horizontally scalable applications using distributed technologies like NoSQL Dbs/Hadoop/Spark and others and we execute projects on-premise and cloud based systems. The AI-Engineers and MLOps Engineers work on scaling AI-systems and in building end-to-end productionized MLOps pipelines.

Responsibilities

Our Big Data capability team needs hands-on developers who can produce beautiful & functional code to solve complex analytics problems. If you are an exceptional developer with an aptitude to learn and implement using new technologies, and who loves to push the boundaries to solve complex business problems innovatively, then we would like to talk with you.
You would be responsible for evaluating, developing, maintaining, and testing big data solutions for advanced analytics projects.
The role would involve big data pre-processing & reporting workflows including collecting, parsing, managing, analyzing and visualizing large sets of data to turn information into business insights.
The role would also involve testing various machine learning models on Big Data and deploying learned models for ongoing scoring and prediction. An appreciation of the mechanics of complex machine learning algorithms would be a strong advantage.


If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!

Not the right fit? Let us know you're interested in a future opportunity by clicking Introduce Yourself in the top-right corner of the page or create an account to set up email alerts as new job postings become available that meet your interest!",,0
"Senior SW Engineer, Data, Ad Analytics",Roku,"Bengaluru, Karnataka, India",5 hours ago,https://in.linkedin.com/jobs/view/senior-sw-engineer-data-ad-analytics-at-roku-4004700219?position=8&pageNum=0&refId=7rCVNTmj8kJomf4Mboha0w%3D%3D&trackingId=h%2B70Lda%2BEWfdoTH7vKATtA%3D%3D&trk=public_jobs_jserp-result_search-card,"Teamwork makes the stream work.

Roku Is Changing How The World Watches TV

Roku is the #1 TV streaming platform in the US, and we've set our sights on powering every television in the world. Roku pioneered streaming to the TV. Our mission is to be the TV streaming platform that connects the entire TV ecosystem. We connect consumers to the content they love, enable content publishers to build and monetize large audiences, and provide advertisers unique capabilities to engage consumers.

From your first day at Roku, you'll make a valuable - and valued - contribution. We're a fast-growing public company where no one is a bystander. We offer you the opportunity to delight millions of TV streamers around the world while gaining meaningful experience across a variety of disciplines.

About The Role

We are looking for a highly skilled Senior Software Engineer who is proficient in API development with Java Spring Boot and has deep expertise in big data technologies, specifically Apache Spark, Apache Airflow, Apache Druid and Trino. This hybrid role requires a strong foundation in both software engineering and data engineering, enabling you to design, build, and maintain scalable and efficient systems for both application development and data processing. You will work closely with cross-functional teams to develop robust APIs and manage large-scale data systems.

About the Team:

You will join a dynamic team that specializes in processing and enriching large amounts of datasets from diverse sources with a focus on Advertising & Analytics. This team is responsible for developing systems that process data and generate comprehensive reports, actionable insights, and planning tools to support various business needs that includes enhancements of Advertising Campaigns and Reach metrics. The team is also responsible for building a generic Ad Analytics API frameworks that will be used by measurement tools built in-house as well as external 3rd party vendors.

What you'll be doing

Big Data Engineering:
Design, build, and maintain data pipelines and ETL processes utilizing Apache Spark, Apache Airflow, Hive, Apache Druid, Trino, StarRocks.
Optimize data storage, retrieval, and processing systems to ensure reliability, scalability, and performance.
Develop and optimize complex queries and data processing jobs for large datasets.
Monitor, troubleshoot, and enhance data systems to ensure minimal downtime and high efficiency.
API Development:
Design, develop, and maintain high-quality APIs using Java Spring Boot.
Ensure the APIs are scalable, secure, and performant, following best practices in API design and microservices architecture.
Write clean, maintainable, and efficient code, and participate in code reviews to ensure the health of the codebase.
Collaboration & Mentorship:
Work closely with data scientists, software engineers, and other teams to deliver integrated solutions.
Collaborate with product managers, front-end developers, and other stakeholders to gather requirements and translate them into technical solutions.
Provide technical guidance and mentorship to junior engineers on both API development and data engineering best practices.
We're excited if you have

Extensive Software development and/or Data Engineering experience with a focus on API development, using Java, Scala, Spring Boot and Big Data technologies.
Strong understanding of RESTful API design principles and microservices architecture.
Expertise with Big data technologies such as Hadoop, Spark, Apache Airflow, Kafka, Hive, Apache Druid and Presto/Trino, with hands-on experience in deploying, managing, and optimizing these systems.
Experience with cloud platforms like (AWS, GCP) and containerization (Docker, Kubernetes).
Experience with CI/CD pipelines, DevOps practices, and infrastructure-as-code tools like Terraform.
Knowledge of data modeling, schema design, and data visualization tools.
Experience with distributed data processing, data warehousing, and real-time data processing.
Proficiency in SQL and experience with query optimization of large datasets.
Strong problem-solving skills, with the ability to work independently and as part of a team.
Bachelor’s degree in computer science, Engineering, or a related field, or equivalent experience.
Nice to have:
Experience with real-time processing frameworks like Apache Flink.
Experience with datastores like StarRocks, DuckDB.
Used data visualization tools like Looker
Benefits

Roku is committed to offering a diverse range of benefits as part of our compensation package to support our employees and their families. Our comprehensive benefits include global access to mental health and financial wellness support and resources. Local benefits include statutory and voluntary benefits which may include healthcare (medical, dental, and vision), life, accident, disability, commuter, and retirement options (401(k)/pension). Our employees can take time off work for vacation and other personal reasons to balance their evolving work and life needs. It's important to note that not every benefit is available in all locations or for every role. For details specific to your location, please consult with your recruiter.

The Roku Culture

Roku is a great place for people who want to work in a fast-paced environment where everyone is focused on the company's success rather than their own. We try to surround ourselves with people who are great at their jobs, who are easy to work with, and who keep their egos in check. We appreciate a sense of humor. We believe a fewer number of very talented folks can do more for less cost than a larger number of less talented teams. We’re independent thinkers with big ideas who act boldly, move fast and accomplish extraordinary things through collaboration and trust. In short, at Roku you'll be part of a company that's changing how the world watches TV.

We have a unique culture that we are proud of. We think of ourselves primarily as problem-solvers, which itself is a two-part idea. We come up with the solution, but the solution isn't real until it is built and delivered to the customer. That penchant for action gives us a pragmatic approach to innovation, one that has served us well since 2002.

To learn more about Roku, our global footprint, and how we've grown, visit https://www.weareroku.com/factsheet.

By providing your information, you acknowledge that you have read our Applicant Privacy Notice and authorize Roku to process your data subject to those terms.",,0
Title not found,Company not found,Location not found,Date posted not found,https://in.linkedin.com/jobs/view/senior-data-engineer-at-experian-3975561097?position=9&pageNum=0&refId=7rCVNTmj8kJomf4Mboha0w%3D%3D&trackingId=514MEQ5qexCMS94By29acg%3D%3D&trk=public_jobs_jserp-result_search-card,Job description not found,,0
Staff Data Engineer,Aeva,"Bengaluru, Karnataka, India",6 hours ago,https://in.linkedin.com/jobs/view/staff-data-engineer-at-aeva-3732432329?position=10&pageNum=0&refId=7rCVNTmj8kJomf4Mboha0w%3D%3D&trackingId=mXB31uBlShBSY2zCpqjwZA%3D%3D&trk=public_jobs_jserp-result_search-card,"About us:
Aeva’s mission is to bring the next wave of perception to a broad range of applications from automated driving to industrial robotics, consumer electronics, consumer health, security, and beyond. Aeva is transforming autonomy with its groundbreaking sensing and perception technology that integrates all key LiDAR components onto a silicon photonics chip in a compact module. Aeva 4D LiDAR sensors uniquely detect instant velocity in addition to 3D position, allowing autonomous devices like vehicles and robots to make more intelligent and safe decisions.
 Role Summary:
The Data Platform team at Aeva is responsible for maintaining and developing end-to-end data solutions, providing crucial insights that impact operational and strategic functions. We are seeking an experienced Lead Data Engineer to join our dynamic team. In this role, you will play a critical part in shaping our data infrastructure to align well with the business and engineering objectives.

What you'll be doing:
Improve data architecture and models according to various operational and analytical use cases for different business units
Develop and maintain scalable data models using dbt or similar tools.
Collaborate with full-stack engineers on internal as well as customer web applications allowing users to interact with the database and S3 data storage
Bring up and optimize cloud data warehouse and database assets (schemas, access control, compute clusters, scaling policies) for optimal cost-performance tradeoffs based on business needs
Established and maintained robust data ingestion processes from various sources including manufacturing assembly, test and inspection stations, qualification systems, Manufacturing Execution Systems (MES), and internal web applications
Establish robust logging infrastructure for all services and servers used by data platform.

What you'll have:
Bachelor's degree in Computer Science, Engineering, or related field; or equivalent work experience
Advanced proficiency in SQL and Python
Experience with AWS services including RDS, S3, Lambda, API Gateway
8+ years of experience in using tools like Apache Airflow, Elasticsearch, DBT, Prefect, Apache Spark
8+ years of experience in using AWS services like Lambda; Step functions, CloudWatch, S3, SQS, RDS
8+ years of experience with databases such as MySQL, ProsGres, Snowflake, Redshift, and or DataBricks
Experience with serverless architectures for data pipelines
Experience implementing and managing robust logging systems to monitor, troubleshoot, and optimize data operations and infrastructure.
Experience with ""infrastructure as code"" using tools like AWS Cloud Formation or Terraform
Excellent interpersonal, analytical, and problem-solving skills
Ability to learn and improve domain experience working with cross-functional teams.

Nice to have:
Understanding of hardware development/manufacturing business logic

What's in it for you:
Be part of a fast paced and dynamic team
Very competitive compensation",,0
